,Image,object
145,PHOTO-2023-10-24-16-07-07.jpg,curtain
146,PHOTO-2023-10-24-16-07-07.jpg,ceiling
147,PHOTO-2023-10-24-16-07-07.jpg,table
148,PHOTO-2023-10-24-16-07-07.jpg,wall
149,PHOTO-2023-10-24-16-07-07.jpg,rug
150,PHOTO-2023-10-24-16-07-07.jpg,person
151,PHOTO-2023-10-24-16-07-07.jpg,chair
152,PHOTO-2023-10-24-16-07-07.jpg,dining table
153,PHOTO-2023-10-24-16-07-07.jpg,laptop
154,PHOTO-2023-10-24-16-07-07.jpg,book
155,IMG_20200206_114621.jpg,banner
156,IMG_20200206_114621.jpg,table
157,IMG_20200206_114621.jpg,floor
158,IMG_20200206_114621.jpg,wall
159,IMG_20200206_114621.jpg,person
160,IMG_20200206_114621.jpg,bottle
161,IMG_20200206_114621.jpg,cup
162,IMG_20200206_114621.jpg,chair
163,IMG_20200206_114621.jpg,dining table
164,PHOTO-2023-10-24-16-07-12-1.jpg,door-stuff
165,PHOTO-2023-10-24-16-07-12-1.jpg,table
166,PHOTO-2023-10-24-16-07-12-1.jpg,floor
167,PHOTO-2023-10-24-16-07-12-1.jpg,wall
168,PHOTO-2023-10-24-16-07-12-1.jpg,person
169,PHOTO-2023-10-24-16-07-12-1.jpg,bottle
170,PHOTO-2023-10-24-16-07-12-1.jpg,cup
171,PHOTO-2023-10-24-16-07-12-1.jpg,chair
172,PHOTO-2023-10-24-16-07-12-1.jpg,laptop
173,PHOTO-2023-10-24-16-07-12-1.jpg,cell phone
174,PHOTO-2023-10-24-16-06-54-1.jpg,banner
175,PHOTO-2023-10-24-16-06-54-1.jpg,table
176,PHOTO-2023-10-24-16-06-54-1.jpg,wall
177,PHOTO-2023-10-24-16-06-54-1.jpg,person
178,PHOTO-2023-10-24-16-06-54-1.jpg,chair
179,PHOTO-2023-10-24-16-06-54-1.jpg,dining table
180,PHOTO-2023-10-24-16-06-46.jpg,sand
181,PHOTO-2023-10-24-16-06-46.jpg,sky
182,PHOTO-2023-10-24-16-06-46.jpg,pavement
183,PHOTO-2023-10-24-16-06-46.jpg,dirt
184,PHOTO-2023-10-24-16-06-46.jpg,building
185,PHOTO-2023-10-24-16-06-46.jpg,wall
186,PHOTO-2023-10-24-16-06-46.jpg,person
187,PHOTO-2023-10-24-16-07-22-1.jpg,sand
188,PHOTO-2023-10-24-16-07-22-1.jpg,sky
189,PHOTO-2023-10-24-16-07-22-1.jpg,person
190,PHOTO-2023-10-24-16-07-22-1.jpg,car
191,PHOTO-2023-10-24-15-39-22.jpg,sand
192,PHOTO-2023-10-24-15-39-22.jpg,sky
193,PHOTO-2023-10-24-15-39-22.jpg,dirt
194,PHOTO-2023-10-24-15-39-22.jpg,person
195,PHOTO-2023-10-24-15-39-22.jpg,car
196,PHOTO-2023-10-24-15-39-22.jpg,motorcycle
197,PHOTO-2023-10-24-15-39-22.jpg,backpack
198,PHOTO-2023-10-24-16-07-13.jpg,door-stuff
199,PHOTO-2023-10-24-16-07-13.jpg,sky
200,PHOTO-2023-10-24-16-07-13.jpg,pavement
201,PHOTO-2023-10-24-16-07-13.jpg,wall
202,PHOTO-2023-10-24-16-07-13.jpg,person
203,PHOTO-2023-10-24-16-07-13-1.jpg,sand
204,PHOTO-2023-10-24-16-07-13-1.jpg,things
205,PHOTO-2023-10-24-16-07-13-1.jpg,person
206,PHOTO-2023-10-30-12-29-07.jpg,road
207,PHOTO-2023-10-30-12-29-07.jpg,sky
208,PHOTO-2023-10-30-12-29-07.jpg,pavement
209,PHOTO-2023-10-30-12-29-07.jpg,building
210,PHOTO-2023-10-30-12-29-07.jpg,person
211,PHOTO-2023-10-30-12-29-07.jpg,bicycle
212,PHOTO-2023-10-30-12-29-07.jpg,car
213,PHOTO-2023-10-30-12-29-07.jpg,motorcycle
214,PHOTO-2023-10-30-12-29-07.jpg,bus
215,PHOTO-2023-10-30-12-29-15.jpg,sand
216,PHOTO-2023-10-30-12-29-15.jpg,sky
217,PHOTO-2023-10-30-12-29-15.jpg,pavement
218,PHOTO-2023-10-30-12-29-15.jpg,dirt
219,PHOTO-2023-10-30-12-29-15.jpg,person
220,PHOTO-2023-10-30-12-29-15.jpg,truck
221,PHOTO-2023-10-30-12-29-15.jpg,sports ball
222,PHOTO-2023-10-24-16-06-45-1.jpg,floor
223,PHOTO-2023-10-24-16-06-45-1.jpg,wall
224,PHOTO-2023-10-24-16-06-45-1.jpg,person
225,PHOTO-2023-10-24-16-06-45-1.jpg,banana
226,PHOTO-2023-10-30-12-29-13.jpg,sand
227,PHOTO-2023-10-30-12-29-13.jpg,sky
228,PHOTO-2023-10-30-12-29-13.jpg,person
229,PHOTO-2023-10-30-12-29-13.jpg,handbag
230,PHOTO-2023-10-24-16-06-48-1.jpg,sand
231,PHOTO-2023-10-24-16-06-48-1.jpg,tree
232,PHOTO-2023-10-24-16-06-48-1.jpg,sky
233,PHOTO-2023-10-24-16-06-48-1.jpg,building
234,PHOTO-2023-10-24-16-06-48-1.jpg,wall
235,PHOTO-2023-10-24-16-06-48-1.jpg,person
236,PHOTO-2023-10-24-16-06-48-1.jpg,car
237,PHOTO-2023-10-24-16-06-48-1.jpg,motorcycle
238,SAM_0042.JPG,door-stuff
239,SAM_0042.JPG,tree
240,SAM_0042.JPG,dirt
241,SAM_0042.JPG,wall
242,SAM_0042.JPG,person
243,SAM_0042.JPG,chair
244,PHOTO-2023-12-08-12-38-32.jpg,road
245,PHOTO-2023-12-08-12-38-32.jpg,sky
246,PHOTO-2023-12-08-12-38-32.jpg,pavement
247,PHOTO-2023-12-08-12-38-32.jpg,building
248,PHOTO-2023-12-08-12-38-32.jpg,person
249,PHOTO-2023-12-08-12-38-32.jpg,motorcycle
250,PHOTO-2023-12-08-12-38-32.jpg,bus
251,PHOTO-2023-12-08-12-38-32.jpg,backpack
252,PHOTO-2023-12-08-12-38-32.jpg,handbag
253,IMG_20200808_133202.jpg,window
254,IMG_20200808_133202.jpg,floor
255,IMG_20200808_133202.jpg,food
256,IMG_20200808_133202.jpg,wall
257,IMG_20200808_133202.jpg,person
258,IMG_20200808_133202.jpg,bottle
259,IMG_20200808_133202.jpg,cup
260,IMG_20200808_133202.jpg,spoon
261,IMG_20200808_133202.jpg,bowl
262,IMG_20200808_133202.jpg,chair
263,PHOTO-2023-10-24-16-06-53-1.jpg,banner
264,PHOTO-2023-10-24-16-06-53-1.jpg,wall
265,PHOTO-2023-10-24-16-06-53-1.jpg,person
266,PHOTO-2023-10-24-16-06-53-1.jpg,book
267,PHOTO-2023-10-24-15-39-17.jpg,door-stuff
268,PHOTO-2023-10-24-15-39-17.jpg,sand
269,PHOTO-2023-10-24-15-39-17.jpg,sky
270,PHOTO-2023-10-24-15-39-17.jpg,building
271,PHOTO-2023-10-24-15-39-17.jpg,wall
272,PHOTO-2023-10-24-15-39-17.jpg,person
273,PHOTO-2023-10-24-15-39-17.jpg,truck
274,PHOTO-2023-10-24-16-07-04.jpg,sand
275,PHOTO-2023-10-24-16-07-04.jpg,wall-stone
276,PHOTO-2023-10-24-16-07-04.jpg,tree
277,PHOTO-2023-10-24-16-07-04.jpg,sky
278,PHOTO-2023-10-24-16-07-04.jpg,dirt
279,PHOTO-2023-10-24-16-07-04.jpg,person
280,PHOTO-2023-10-24-16-07-04.jpg,truck
281,IMG_4200.JPG,sky
282,IMG_4200.JPG,person
283,IMG_4200.JPG,bench
284,PHOTO-2023-10-24-16-07-01-1.jpg,banner
285,PHOTO-2023-10-24-16-07-01-1.jpg,ceiling
286,PHOTO-2023-10-24-16-07-01-1.jpg,paper
287,PHOTO-2023-10-24-16-07-01-1.jpg,wall
288,PHOTO-2023-10-24-16-07-01-1.jpg,person
289,PHOTO-2023-10-24-16-07-05.jpg,curtain
290,PHOTO-2023-10-24-16-07-05.jpg,ceiling
291,PHOTO-2023-10-24-16-07-05.jpg,table
292,PHOTO-2023-10-24-16-07-05.jpg,wall
293,PHOTO-2023-10-24-16-07-05.jpg,person
294,PHOTO-2023-10-24-16-07-05.jpg,chair
295,PHOTO-2023-10-24-16-07-05.jpg,laptop
296,PHOTO-2023-10-24-16-07-14-1.jpg,sand
297,PHOTO-2023-10-24-16-07-14-1.jpg,wall
298,PHOTO-2023-10-24-16-07-14-1.jpg,person
299,IMG_20230219_092713.jpg,door-stuff
300,IMG_20230219_092713.jpg,pavement
301,IMG_20230219_092713.jpg,dirt
302,IMG_20230219_092713.jpg,wall
303,IMG_20230219_092713.jpg,person
304,IMG_20230219_092713.jpg,motorcycle
305,IMG_20230219_092713.jpg,couch
306,PHOTO-2023-10-30-12-29-10.jpg,sky
307,PHOTO-2023-10-30-12-29-10.jpg,pavement
308,PHOTO-2023-10-30-12-29-10.jpg,building
309,PHOTO-2023-10-30-12-29-10.jpg,person
310,PHOTO-2023-10-30-12-29-10.jpg,motorcycle
311,PHOTO-2023-10-30-12-29-10.jpg,bus
312,PHOTO-2023-10-30-12-29-10.jpg,truck
313,IMG_20230501_173338.jpg,sand
314,IMG_20230501_173338.jpg,wall-stone
315,IMG_20230501_173338.jpg,sky
316,IMG_20230501_173338.jpg,building
317,IMG_20230501_173338.jpg,wall
318,IMG_20230501_173338.jpg,person
319,IMG_20230501_173338.jpg,truck
320,IMG_20230501_173338.jpg,potted plant
321,PHOTO-2023-10-30-12-29-09.jpg,sand
322,PHOTO-2023-10-30-12-29-09.jpg,dirt
323,PHOTO-2023-10-30-12-29-09.jpg,wall
324,PHOTO-2023-10-30-12-29-09.jpg,person
325,PHOTO-2023-10-30-12-29-09.jpg,bus
326,PHOTO-2023-10-30-12-29-09.jpg,sports ball
327,IMG_20200808_105303.jpg,banner
328,IMG_20200808_105303.jpg,paper
329,IMG_20200808_105303.jpg,person
330,PHOTO-2023-10-24-15-39-20.jpg,sand
331,PHOTO-2023-10-24-15-39-20.jpg,sky
332,PHOTO-2023-10-24-15-39-20.jpg,building
333,PHOTO-2023-10-24-15-39-20.jpg,person
334,PHOTO-2023-10-24-16-07-00-1.jpg,wall-stone
335,PHOTO-2023-10-24-16-07-00-1.jpg,tree
336,PHOTO-2023-10-24-16-07-00-1.jpg,food
337,PHOTO-2023-10-24-16-07-00-1.jpg,wall
338,PHOTO-2023-10-24-16-07-00-1.jpg,person
339,PHOTO-2023-10-24-16-07-12.jpg,sand
340,PHOTO-2023-10-24-16-07-12.jpg,sky
341,PHOTO-2023-10-24-16-07-12.jpg,rock
342,PHOTO-2023-10-24-16-07-12.jpg,person
343,GOPR1959.JPG,banner
344,GOPR1959.JPG,sand
345,GOPR1959.JPG,sky
346,GOPR1959.JPG,dirt
347,GOPR1959.JPG,person
348,PHOTO-2023-10-24-16-06-52-1.jpg,door-stuff
349,PHOTO-2023-10-24-16-06-52-1.jpg,tree
350,PHOTO-2023-10-24-16-06-52-1.jpg,wall
351,PHOTO-2023-10-24-16-06-52-1.jpg,person
352,PHOTO-2023-10-24-16-07-15-1.jpg,wall-stone
353,PHOTO-2023-10-24-16-07-15-1.jpg,tree
354,PHOTO-2023-10-24-16-07-15-1.jpg,floor
355,PHOTO-2023-10-24-16-07-15-1.jpg,pavement
356,PHOTO-2023-10-24-16-07-15-1.jpg,dirt
357,PHOTO-2023-10-24-16-07-15-1.jpg,food
358,PHOTO-2023-10-24-16-07-15-1.jpg,rock
359,PHOTO-2023-10-24-16-07-15-1.jpg,wall
360,PHOTO-2023-10-24-16-07-15-1.jpg,person
361,PHOTO-2023-10-24-16-06-47-1.jpg,banner
362,PHOTO-2023-10-24-16-06-47-1.jpg,person
363,PHOTO-2023-10-24-16-06-49.jpg,banner
364,PHOTO-2023-10-24-16-06-49.jpg,sky
365,PHOTO-2023-10-24-16-06-49.jpg,dirt
366,PHOTO-2023-10-24-16-06-49.jpg,building
367,PHOTO-2023-10-24-16-06-49.jpg,person
368,PHOTO-2023-10-24-16-06-49.jpg,motorcycle
369,snapshot_011.bmp,sand
370,snapshot_011.bmp,tree
371,snapshot_011.bmp,sky
372,snapshot_011.bmp,person
373,IMG_4206.JPG,sky
374,IMG_4206.JPG,wall
375,IMG_4206.JPG,person
376,IMG_20200808_133121.jpg,banner
377,IMG_20200808_133121.jpg,floor-wood
378,IMG_20200808_133121.jpg,tent
379,IMG_20200808_133121.jpg,wall
380,IMG_20200808_133121.jpg,rug
381,IMG_20200808_133121.jpg,person
382,IMG_20200808_133121.jpg,bottle
383,IMG_20200808_133121.jpg,cup
384,IMG_20200808_133121.jpg,bowl
385,IMG_20200808_133121.jpg,pizza
386,PHOTO-2023-10-24-16-06-57-1.jpg,tree
387,PHOTO-2023-10-24-16-06-57-1.jpg,sky
388,PHOTO-2023-10-24-16-06-57-1.jpg,dirt
389,PHOTO-2023-10-24-16-06-57-1.jpg,person
390,PHOTO-2023-10-24-16-06-57-1.jpg,car
391,PHOTO-2023-10-24-16-07-10.jpg,sand
392,PHOTO-2023-10-24-16-07-10.jpg,tree
393,PHOTO-2023-10-24-16-07-10.jpg,dirt
394,PHOTO-2023-10-24-16-07-10.jpg,person
395,PHOTO-2023-10-24-16-06-45.jpg,sky
396,PHOTO-2023-10-24-16-06-45.jpg,floor
397,PHOTO-2023-10-24-16-06-45.jpg,wall
398,PHOTO-2023-10-24-16-06-45.jpg,person
399,PHOTO-2023-12-08-12-38-37.jpg,road
400,PHOTO-2023-12-08-12-38-37.jpg,sky
401,PHOTO-2023-12-08-12-38-37.jpg,dirt
402,PHOTO-2023-12-08-12-38-37.jpg,building
403,PHOTO-2023-12-08-12-38-37.jpg,person
404,PHOTO-2023-12-08-12-38-37.jpg,bus
405,PHOTO-2023-12-08-12-38-37.jpg,backpack
406,GOPR1955.JPG,banner
407,GOPR1955.JPG,sand
408,GOPR1955.JPG,sky
409,GOPR1955.JPG,person
410,SAM_0046.JPG,sky
411,SAM_0046.JPG,person
412,PHOTO-2023-10-24-15-39-19-1.jpg,sand
413,PHOTO-2023-10-24-15-39-19-1.jpg,sky
414,PHOTO-2023-10-24-15-39-19-1.jpg,dirt
415,PHOTO-2023-10-24-15-39-19-1.jpg,person
416,PHOTO-2023-10-24-15-39-19-1.jpg,truck
417,PHOTO-2023-10-24-15-39-19-1.jpg,backpack
418,IMG_20200808_132231.jpg,window
419,IMG_20200808_132231.jpg,table
420,IMG_20200808_132231.jpg,floor
421,IMG_20200808_132231.jpg,wall
422,IMG_20200808_132231.jpg,person
423,IMG_20200808_132231.jpg,bowl
424,PHOTO-2023-10-24-16-07-04-1.jpg,banner
425,PHOTO-2023-10-24-16-07-04-1.jpg,floor
426,PHOTO-2023-10-24-16-07-04-1.jpg,wall
427,PHOTO-2023-10-24-16-07-04-1.jpg,person
428,PHOTO-2023-10-24-16-07-04-1.jpg,chair
429,PHOTO-2023-10-24-16-07-17.jpg,sand
430,PHOTO-2023-10-24-16-07-17.jpg,tree
431,PHOTO-2023-10-24-16-07-17.jpg,sky
432,PHOTO-2023-10-24-16-07-17.jpg,dirt
433,PHOTO-2023-10-24-16-07-17.jpg,person
434,PHOTO-2023-10-30-12-29-08.jpg,banner
435,PHOTO-2023-10-30-12-29-08.jpg,sand
436,PHOTO-2023-10-30-12-29-08.jpg,sky
437,PHOTO-2023-10-30-12-29-08.jpg,person
438,PHOTO-2023-10-30-12-29-08.jpg,handbag
439,IMG_4202.JPG,road
440,IMG_4202.JPG,sky
441,IMG_4202.JPG,person
442,IMG_4202.JPG,truck
443,IMG_20230209_135546.jpg,banner
444,IMG_20230209_135546.jpg,cabinet
445,IMG_20230209_135546.jpg,wall
446,IMG_20230209_135546.jpg,person
447,IMG_20230209_135546.jpg,bottle
448,IMG_20200808_132733.jpg,pavement
449,IMG_20200808_132733.jpg,dirt
450,IMG_20200808_132733.jpg,wall
451,IMG_20200808_132733.jpg,person
452,IMG_20200808_132733.jpg,motorcycle
453,IMG_20200808_132733.jpg,backpack
454,IMG_20200808_132733.jpg,bottle
455,IMG_20200808_132733.jpg,cup
456,G0041951.JPG,sand
457,G0041951.JPG,sky
458,G0041951.JPG,person
459,PHOTO-2023-10-24-16-07-06.jpg,sand
460,PHOTO-2023-10-24-16-07-06.jpg,sky
461,PHOTO-2023-10-24-16-07-06.jpg,person
462,PHOTO-2023-10-24-16-07-06.jpg,truck
463,PHOTO-2023-10-24-16-07-21-1.jpg,curtain
464,PHOTO-2023-10-24-16-07-21-1.jpg,floor
465,PHOTO-2023-10-24-16-07-21-1.jpg,wall
466,PHOTO-2023-10-24-16-07-21-1.jpg,person
467,PHOTO-2023-10-24-16-07-21-1.jpg,chair
468,PHOTO-2023-10-24-16-07-21-1.jpg,dining table
469,snapshot_015.bmp,dirt
470,snapshot_015.bmp,person
471,PHOTO-2023-10-24-16-07-11-1.jpg,sand
472,PHOTO-2023-10-24-16-07-11-1.jpg,wall-stone
473,PHOTO-2023-10-24-16-07-11-1.jpg,sky
474,PHOTO-2023-10-24-16-07-11-1.jpg,rock
475,PHOTO-2023-10-24-16-07-11-1.jpg,wall
476,PHOTO-2023-10-24-16-07-11-1.jpg,person
477,snapshot_006.bmp,wall
478,snapshot_006.bmp,person
479,PHOTO-2023-10-24-16-07-03.jpg,sand
480,PHOTO-2023-10-24-16-07-03.jpg,sky
481,PHOTO-2023-10-24-16-07-03.jpg,person
482,PHOTO-2023-10-24-15-39-19.jpg,sand
483,PHOTO-2023-10-24-15-39-19.jpg,sky
484,PHOTO-2023-10-24-15-39-19.jpg,person
485,PHOTO-2023-10-24-15-39-19.jpg,motorcycle
486,PHOTO-2023-10-24-16-07-19-1.jpg,sand
487,PHOTO-2023-10-24-16-07-19-1.jpg,sky
488,PHOTO-2023-10-24-16-07-19-1.jpg,dirt
489,PHOTO-2023-10-24-16-07-19-1.jpg,wall
490,PHOTO-2023-10-24-16-07-19-1.jpg,person
491,PHOTO-2023-10-24-16-07-19-1.jpg,motorcycle
492,PHOTO-2023-10-24-16-06-59-1.jpg,sand
493,PHOTO-2023-10-24-16-06-59-1.jpg,sky
494,PHOTO-2023-10-24-16-06-59-1.jpg,wall
495,PHOTO-2023-10-24-16-06-59-1.jpg,person
496,PHOTO-2023-10-24-16-06-59-1.jpg,motorcycle
497,PHOTO-2023-10-24-16-07-20.jpg,door-stuff
498,PHOTO-2023-10-24-16-07-20.jpg,window
499,PHOTO-2023-10-24-16-07-20.jpg,floor
500,PHOTO-2023-10-24-16-07-20.jpg,pavement
501,PHOTO-2023-10-24-16-07-20.jpg,wall
502,PHOTO-2023-10-24-16-07-20.jpg,person
503,IMG_20221221_163805.jpg,door-stuff
504,IMG_20221221_163805.jpg,wall-stone
505,IMG_20221221_163805.jpg,pavement
506,IMG_20221221_163805.jpg,wall
507,IMG_20221221_163805.jpg,person
508,IMG_20221221_163805.jpg,bicycle
509,IMG_20221221_163805.jpg,sports ball
510,IMG_20221221_163805.jpg,cup
511,IMG_20221221_163805.jpg,chair
512,IMG_20200206_145809.jpg,banner
513,IMG_20200206_145809.jpg,floor
514,IMG_20200206_145809.jpg,wall
515,IMG_20200206_145809.jpg,person
516,PHOTO-2023-10-24-16-06-56.jpg,sand
517,PHOTO-2023-10-24-16-06-56.jpg,sky
518,PHOTO-2023-10-24-16-06-56.jpg,building
519,PHOTO-2023-10-24-16-06-56.jpg,rock
520,PHOTO-2023-10-24-16-06-56.jpg,person
521,PHOTO-2023-10-24-16-06-56.jpg,bench
522,PHOTO-2023-10-30-12-29-15-1.jpg,sand
523,PHOTO-2023-10-30-12-29-15-1.jpg,dirt
524,PHOTO-2023-10-30-12-29-15-1.jpg,person
525,PHOTO-2023-10-30-12-29-15-1.jpg,truck
526,PHOTO-2023-10-24-16-07-05-1.jpg,wall-tile
527,PHOTO-2023-10-24-16-07-05-1.jpg,window
528,PHOTO-2023-10-24-16-07-05-1.jpg,floor
529,PHOTO-2023-10-24-16-07-05-1.jpg,wall
530,PHOTO-2023-10-24-16-07-05-1.jpg,person
531,PHOTO-2023-10-24-16-07-05-1.jpg,bench
532,PHOTO-2023-10-24-16-06-57.jpg,curtain
533,PHOTO-2023-10-24-16-06-57.jpg,table
534,PHOTO-2023-10-24-16-06-57.jpg,wall
535,PHOTO-2023-10-24-16-06-57.jpg,rug
536,PHOTO-2023-10-24-16-06-57.jpg,person
537,PHOTO-2023-10-24-16-06-57.jpg,chair
538,PHOTO-2023-10-24-16-06-57.jpg,laptop
539,snapshot_009.bmp,tree
540,snapshot_009.bmp,sky
541,snapshot_009.bmp,grass
542,snapshot_009.bmp,dirt
543,snapshot_009.bmp,person
544,IMG_20200808_121527.jpg,sand
545,IMG_20200808_121527.jpg,sky
