,Node,Neighbor,Weight
210,wall-stone,cup,1
211,wall-stone,chair,1
212,wall-stone,potted plant,1
213,wall-tile,wall-tile,2
214,wall-tile,window,1
215,wall-tile,table,1
216,wall-tile,floor,2
217,wall-tile,paper,1
218,wall-tile,wall,2
219,wall-tile,person,2
220,wall-tile,bench,1
221,wall-tile,book,1
222,wall-wood,banner,1
223,wall-wood,cardboard,1
224,wall-wood,wall-wood,1
225,wall-wood,dirt,1
226,wall-wood,paper,1
227,wall-wood,wall,1
228,wall-wood,person,1
229,water,sand,1
230,water,water,3
231,water,tree,1
232,water,sky,3
233,water,table,1
234,water,floor,1
235,water,pavement,1
236,water,grass,1
237,water,dirt,1
238,water,wall,1
239,water,person,3
240,water,bottle,1
241,water,bowl,1
242,window-blind,window-blind,1
243,window-blind,window,1
244,window-blind,wall,1
245,window-blind,person,1
246,window-blind,bottle,1
247,window-blind,laptop,1
248,window,door-stuff,2
249,window,wall-tile,1
250,window,window-blind,1
251,window,window,7
252,window,table,2
253,window,floor,6
254,window,pavement,2
255,window,food,1
256,window,wall,7
257,window,person,7
258,window,bench,1
259,window,handbag,1
260,window,bottle,3
261,window,cup,2
262,window,spoon,1
263,window,bowl,2
264,window,chair,2
265,window,dining table,1
266,window,laptop,2
267,window,book,1
268,tree,banner,1
269,tree,cardboard,1
270,tree,door-stuff,2
271,tree,sand,13
272,tree,wall-brick,1
273,tree,wall-stone,5
274,tree,water,1
275,tree,tree,29
276,tree,ceiling,1
277,tree,sky,19
278,tree,table,1
279,tree,floor,2
280,tree,pavement,3
281,tree,grass,5
282,tree,dirt,16
283,tree,paper,1
284,tree,food,5
285,tree,building,4
286,tree,rock,2
287,tree,wall,11
288,tree,person,29
289,tree,car,6
290,tree,motorcycle,1
291,tree,bus,2
292,tree,truck,3
293,tree,backpack,1
294,tree,handbag,1
295,tree,suitcase,1
296,tree,cup,2
297,tree,chair,4
298,tree,potted plant,3
299,ceiling,banner,5
300,ceiling,curtain,2
301,ceiling,door-stuff,2
302,ceiling,sand,2
303,ceiling,tent,1
304,ceiling,wall-brick,1
305,ceiling,tree,1
306,ceiling,ceiling,12
307,ceiling,table,5
308,ceiling,floor,4
309,ceiling,dirt,2
310,ceiling,paper,2
311,ceiling,wall,12
312,ceiling,rug,1
313,ceiling,person,12
314,ceiling,car,1
315,ceiling,truck,1
316,ceiling,sports ball,1
317,ceiling,bottle,3
318,ceiling,cup,1
319,ceiling,chair,8
320,ceiling,dining table,2
321,ceiling,laptop,2
322,ceiling,book,1
323,sky,banner,6
324,sky,cardboard,1
325,sky,door-stuff,4
326,sky,road,9
327,sky,sand,65
328,sky,tent,2
329,sky,towel,2
330,sky,wall-brick,2
331,sky,wall-stone,7
332,sky,water,3
333,sky,tree,19
334,sky,sky,101
335,sky,table,1
336,sky,floor,3
337,sky,pavement,16
338,sky,mountain,1
339,sky,grass,6
340,sky,dirt,29
341,sky,paper,2
342,sky,building,26
343,sky,rock,7
344,sky,wall,22
345,sky,person,101
346,sky,bicycle,2
347,sky,car,20
348,sky,motorcycle,20
349,sky,bus,11
350,sky,truck,16
351,sky,bench,3
352,sky,backpack,9
353,sky,handbag,9
354,sky,suitcase,3
355,sky,sports ball,2
356,sky,bottle,3
357,sky,cup,1
358,sky,bowl,2
359,sky,chair,4
360,sky,potted plant,3
361,sky,dining table,2
362,sky,book,1
363,cabinet,banner,1
364,cabinet,cabinet,1
365,cabinet,wall,1
366,cabinet,person,1
367,cabinet,bottle,1
368,table,banner,4
369,table,curtain,3
370,table,door-stuff,3
371,table,sand,1
372,table,wall-tile,1
373,table,water,1
374,table,window,2
375,table,tree,1
376,table,ceiling,5
377,table,sky,1
378,table,table,15
379,table,floor,8
380,table,grass,1
381,table,dirt,2
382,table,paper,2
383,table,wall,13
384,table,rug,2
385,table,person,15
386,table,car,1
387,table,truck,1
388,table,handbag,1
389,table,bottle,7
390,table,cup,4
391,table,bowl,1
392,table,chair,9
393,table,dining table,5
394,table,laptop,5
395,table,cell phone,1
396,table,book,3
397,floor,banner,5
398,floor,cardboard,1
399,floor,curtain,1
400,floor,door-stuff,6
401,floor,sand,2
402,floor,wall-stone,1
403,floor,wall-tile,2
404,floor,water,1
405,floor,window,6
406,floor,tree,2
407,floor,ceiling,4
408,floor,sky,3
409,floor,table,8
410,floor,floor,29
411,floor,pavement,6
412,floor,dirt,2
413,floor,paper,2
414,floor,food,3
415,floor,rock,1
416,floor,wall,28
417,floor,rug,1
418,floor,person,29
419,floor,bench,2
420,floor,handbag,2
421,floor,sports ball,2
422,floor,bottle,12
423,floor,cup,5
424,floor,spoon,2
425,floor,bowl,4
426,floor,banana,1
427,floor,chair,14
428,floor,potted plant,1
429,floor,dining table,7
430,floor,laptop,2
431,floor,cell phone,2
432,floor,book,2
433,pavement,cardboard,1
434,pavement,door-stuff,6
435,pavement,road,6
436,pavement,sand,6
437,pavement,wall-stone,2
438,pavement,water,1
439,pavement,window,2
440,pavement,tree,3
441,pavement,sky,16
442,pavement,floor,6
443,pavement,pavement,25
444,pavement,dirt,8
445,pavement,paper,1
446,pavement,food,1
447,pavement,building,8
448,pavement,rock,1
449,pavement,wall,15
450,pavement,person,25
451,pavement,bicycle,2
452,pavement,car,7
453,pavement,motorcycle,9
454,pavement,bus,8
455,pavement,truck,5
456,pavement,bench,1
457,pavement,backpack,4
458,pavement,handbag,1
459,pavement,suitcase,2
460,pavement,sports ball,2
461,pavement,bottle,4
462,pavement,cup,3
463,pavement,spoon,1
464,pavement,bowl,2
465,pavement,chair,3
466,pavement,couch,1
467,pavement,potted plant,1
468,pavement,dining table,1
469,mountain,sky,1
470,mountain,mountain,1
471,mountain,grass,1
472,mountain,dirt,1
473,mountain,person,1
474,grass,sand,1
475,grass,water,1
476,grass,tree,5
477,grass,sky,6
478,grass,table,1
479,grass,mountain,1
480,grass,grass,6
481,grass,dirt,5
482,grass,person,6
483,dirt,banner,7
484,dirt,cardboard,2
485,dirt,door-stuff,2
486,dirt,road,3
487,dirt,sand,22
488,dirt,tent,1
489,dirt,wall-brick,3
490,dirt,wall-stone,4
491,dirt,wall-wood,1
492,dirt,water,1
493,dirt,tree,16
494,dirt,ceiling,2
495,dirt,sky,29
496,dirt,table,2
497,dirt,floor,2
498,dirt,pavement,8
499,dirt,mountain,1
500,dirt,grass,5
501,dirt,dirt,47
502,dirt,paper,1
503,dirt,food,3
504,dirt,building,12
505,dirt,rock,1
506,dirt,wall,17
507,dirt,person,47
508,dirt,bicycle,1
509,dirt,car,8
510,dirt,motorcycle,8
511,dirt,bus,6
512,dirt,truck,10
513,dirt,backpack,7
514,dirt,handbag,1
515,dirt,sports ball,2
516,dirt,bottle,1
517,dirt,cup,1
518,dirt,chair,4
519,dirt,couch,1
520,dirt,potted plant,3
521,paper,banner,3
522,paper,cardboard,2
523,paper,road,1
524,paper,towel,1
525,paper,wall-stone,1
526,paper,wall-tile,1
527,paper,wall-wood,1
528,paper,tree,1
529,paper,ceiling,2
530,paper,sky,2
531,paper,table,2
532,paper,floor,2
533,paper,pavement,1
534,paper,dirt,1
535,paper,paper,8
536,paper,building,1
537,paper,wall,5
538,paper,person,8
539,paper,car,1
540,paper,motorcycle,1
541,paper,bench,1
542,paper,backpack,1
543,paper,bottle,1
544,paper,cup,1
545,paper,chair,1
546,paper,book,1
547,food,cardboard,1
548,food,sand,1
549,food,wall-stone,4
550,food,window,1
551,food,tree,5
552,food,floor,3
553,food,pavement,1
554,food,dirt,3
555,food,food,6
556,food,rock,2
557,food,wall,6
558,food,person,6
559,food,bottle,1
560,food,cup,1
561,food,spoon,1
562,food,bowl,1
563,food,chair,2
564,food,potted plant,1
565,building,banner,4
566,building,cardboard,1
567,building,door-stuff,2
568,building,road,5
569,building,sand,15
570,building,towel,1
571,building,wall-brick,2
572,building,wall-stone,2
573,building,tree,4
574,building,sky,26
575,building,pavement,8
576,building,dirt,12
577,building,paper,1
578,building,building,27
579,building,rock,3
580,building,wall,12
581,building,person,27
582,building,bicycle,2
583,building,car,6
584,building,motorcycle,11
585,building,bus,6
586,building,truck,5
587,building,bench,2
588,building,backpack,5
589,building,handbag,1
590,building,suitcase,2
591,building,chair,1
592,building,potted plant,2
593,building,dining table,1
594,rock,sand,7
595,rock,wall-stone,3
596,rock,tree,2
597,rock,sky,7
598,rock,floor,1
599,rock,pavement,1
600,rock,dirt,1
601,rock,food,2
602,rock,building,3
603,rock,rock,9
604,rock,wall,5
605,rock,person,9
606,rock,car,1
607,rock,bench,1
608,rock,backpack,1
609,rock,suitcase,1
610,rock,book,1
611,wall,banner,15
612,wall,cardboard,3
613,wall,curtain,4
614,wall,door-stuff,14
615,wall,floor-wood,1
616,wall,road,1
617,wall,sand,26
618,wall,tent,2
619,wall,wall-brick,1
620,wall,wall-stone,9
621,wall,wall-tile,2
622,wall,wall-wood,1
623,wall,water,1
624,wall,window-blind,1
625,wall,window,7
626,wall,tree,11
627,wall,ceiling,12
628,wall,sky,22
629,wall,cabinet,1
630,wall,table,13
631,wall,floor,28
632,wall,pavement,15
633,wall,dirt,17
634,wall,paper,5
635,wall,food,6
636,wall,building,12
637,wall,rock,5
638,wall,wall,84
639,wall,rug,4
640,wall,person,84
641,wall,bicycle,1
642,wall,car,3
643,wall,motorcycle,11
644,wall,bus,1
645,wall,truck,6
646,wall,bench,3
647,wall,backpack,3
648,wall,handbag,3
649,wall,sports ball,4
650,wall,bottle,18
651,wall,cup,10
652,wall,spoon,2
653,wall,bowl,5
654,wall,banana,1
655,wall,pizza,1
656,wall,chair,26
657,wall,couch,1
658,wall,potted plant,2
659,wall,dining table,11
660,wall,laptop,6
661,wall,cell phone,2
662,wall,book,5
663,rug,banner,1
664,rug,curtain,2
665,rug,floor-wood,1
666,rug,tent,1
667,rug,ceiling,1
668,rug,table,2
669,rug,floor,1
670,rug,wall,4
671,rug,rug,4
672,rug,person,4
673,rug,bottle,2
674,rug,cup,1
675,rug,bowl,1
676,rug,pizza,1
677,rug,chair,2
678,rug,dining table,1
679,rug,laptop,2
680,rug,cell phone,1
681,rug,book,1
682,things,sand,1
683,things,things,1
684,things,person,1
685,person,banner,24
686,person,cardboard,3
687,person,curtain,4
688,person,door-stuff,14
689,person,floor-wood,1
690,person,road,10
691,person,sand,83
692,person,tent,4
693,person,towel,2
694,person,wall-brick,3
695,person,wall-stone,12
696,person,wall-tile,2
697,person,wall-wood,1
698,person,water,3
699,person,window-blind,1
700,person,window,7
701,person,tree,29
702,person,ceiling,12
703,person,sky,101
704,person,cabinet,1
705,person,table,15
706,person,floor,29
707,person,pavement,25
708,person,mountain,1
709,person,grass,6
710,person,dirt,47
711,person,paper,8
712,person,food,6
713,person,building,27
714,person,rock,9
715,person,wall,84
716,person,rug,4
717,person,things,1
718,person,person,177
719,person,bicycle,3
720,person,car,22
721,person,motorcycle,25
722,person,bus,14
723,person,truck,19
724,person,bench,5
725,person,backpack,11
726,person,handbag,12
727,person,suitcase,3
728,person,sports ball,5
729,person,bottle,20
730,person,cup,11
731,person,spoon,2
732,person,bowl,6
733,person,banana,1
734,person,pizza,1
735,person,chair,29
736,person,couch,1
737,person,potted plant,4
738,person,dining table,11
739,person,laptop,6
740,person,cell phone,2
741,person,book,5
742,bicycle,door-stuff,1
743,bicycle,road,1
744,bicycle,sand,1
745,bicycle,wall-stone,1
746,bicycle,sky,2
747,bicycle,pavement,2
748,bicycle,dirt,1
749,bicycle,building,2
750,bicycle,wall,1
751,bicycle,person,3
752,bicycle,bicycle,3
753,bicycle,car,2
754,bicycle,motorcycle,2
755,bicycle,bus,2
756,bicycle,sports ball,1
757,bicycle,cup,1
758,bicycle,chair,2
759,car,cardboard,1
760,car,road,4
761,car,sand,13
762,car,tree,6
763,car,ceiling,1
764,car,sky,20
765,car,table,1
766,car,pavement,7
767,car,dirt,8
768,car,paper,1
769,car,building,6
770,car,rock,1
771,car,wall,3
772,car,person,22
773,car,bicycle,2
774,car,car,22
775,car,motorcycle,6
776,car,bus,6
777,car,truck,4
778,car,bench,1
779,car,backpack,5
780,car,handbag,1
781,car,suitcase,2
782,car,cup,1
783,car,chair,2
784,car,potted plant,2
785,motorcycle,banner,1
786,motorcycle,cardboard,1
787,motorcycle,door-stuff,2
788,motorcycle,road,5
789,motorcycle,sand,14
790,motorcycle,tent,1
791,motorcycle,tree,1
792,motorcycle,sky,20
793,motorcycle,pavement,9
794,motorcycle,dirt,8
795,motorcycle,paper,1
796,motorcycle,building,11
797,motorcycle,wall,11
798,motorcycle,person,25
799,motorcycle,bicycle,2
800,motorcycle,car,6
801,motorcycle,motorcycle,25
802,motorcycle,bus,6
803,motorcycle,truck,1
804,motorcycle,bench,1
805,motorcycle,backpack,4
806,motorcycle,handbag,1
807,motorcycle,suitcase,1
808,motorcycle,bottle,2
809,motorcycle,cup,1
810,motorcycle,chair,2
811,motorcycle,couch,1
812,motorcycle,dining table,1
813,bus,road,6
814,bus,sand,3
815,bus,tree,2
816,bus,sky,11
817,bus,pavement,8
818,bus,dirt,6
819,bus,building,6
820,bus,wall,1
821,bus,person,14
822,bus,bicycle,2
823,bus,car,6
824,bus,motorcycle,6
825,bus,bus,14
826,bus,truck,2
827,bus,backpack,3
828,bus,handbag,2
829,bus,suitcase,2
830,bus,sports ball,1
831,bus,chair,2
832,bus,potted plant,1
833,truck,door-stuff,1
834,truck,road,3
835,truck,sand,12
836,truck,wall-stone,2
837,truck,tree,3
838,truck,ceiling,1
839,truck,sky,16
840,truck,table,1
841,truck,pavement,5
842,truck,dirt,10
843,truck,building,5
844,truck,wall,6
845,truck,person,19
846,truck,car,4
847,truck,motorcycle,1
848,truck,bus,2
849,truck,truck,19
850,truck,backpack,2
851,truck,sports ball,1
852,truck,chair,2
853,truck,potted plant,1
854,bench,cardboard,1
855,bench,road,1
856,bench,sand,1
857,bench,wall-tile,1
858,bench,window,1
859,bench,sky,3
860,bench,floor,2
861,bench,pavement,1
862,bench,paper,1
863,bench,building,2
864,bench,rock,1
865,bench,wall,3
866,bench,person,5
867,bench,car,1
868,bench,motorcycle,1
869,bench,bench,5
870,bench,backpack,1
871,bench,handbag,1
872,backpack,banner,1
873,backpack,cardboard,1
874,backpack,road,3
875,backpack,sand,5
876,backpack,tree,1
877,backpack,sky,9
878,backpack,pavement,4
879,backpack,dirt,7
880,backpack,paper,1
881,backpack,building,5
882,backpack,rock,1
883,backpack,wall,3
884,backpack,person,11
885,backpack,car,5
886,backpack,motorcycle,4
887,backpack,bus,3
888,backpack,truck,2
889,backpack,bench,1
890,backpack,backpack,11
891,backpack,handbag,2
892,backpack,suitcase,1
893,backpack,bottle,1
894,backpack,cup,1
895,backpack,potted plant,1
896,handbag,banner,1
897,handbag,door-stuff,1
898,handbag,road,1
899,handbag,sand,8
900,handbag,tent,1
901,handbag,wall-stone,1
902,handbag,window,1
903,handbag,tree,1
904,handbag,sky,9
905,handbag,table,1
906,handbag,floor,2
907,handbag,pavement,1
908,handbag,dirt,1
909,handbag,building,1
910,handbag,wall,3
911,handbag,person,12
912,handbag,car,1
913,handbag,motorcycle,1
914,handbag,bus,2
915,handbag,bench,1
916,handbag,backpack,2
917,handbag,handbag,12
918,handbag,bottle,1
919,handbag,cup,2
920,handbag,bowl,1
921,handbag,chair,1
922,handbag,dining table,1
923,handbag,laptop,1
924,handbag,book,1
925,suitcase,road,1
926,suitcase,sand,1
927,suitcase,tree,1
928,suitcase,sky,3
929,suitcase,pavement,2
930,suitcase,building,2
931,suitcase,rock,1
932,suitcase,person,3
933,suitcase,car,2
934,suitcase,motorcycle,1
935,suitcase,bus,2
936,suitcase,backpack,1
937,suitcase,suitcase,3
938,sports ball,door-stuff,1
939,sports ball,sand,2
940,sports ball,wall-stone,1
941,sports ball,ceiling,1
942,sports ball,sky,2
943,sports ball,floor,2
944,sports ball,pavement,2
945,sports ball,dirt,2
946,sports ball,wall,4
947,sports ball,person,5
948,sports ball,bicycle,1
949,sports ball,bus,1
950,sports ball,truck,1
951,sports ball,sports ball,5
952,sports ball,bottle,1
953,sports ball,cup,1
954,sports ball,chair,3
955,sports ball,dining table,1
956,bottle,banner,7
957,bottle,door-stuff,4
958,bottle,floor-wood,1
959,bottle,sand,2
960,bottle,tent,1
961,bottle,water,1
962,bottle,window-blind,1
963,bottle,window,3
964,bottle,ceiling,3
965,bottle,sky,3
966,bottle,cabinet,1
967,bottle,table,7
968,bottle,floor,12
969,bottle,pavement,4
970,bottle,dirt,1
971,bottle,paper,1
972,bottle,food,1
973,bottle,wall,18
974,bottle,rug,2
975,bottle,person,20
976,bottle,motorcycle,2
977,bottle,backpack,1
978,bottle,handbag,1
979,bottle,sports ball,1
980,bottle,bottle,20
981,bottle,cup,8
982,bottle,spoon,2
983,bottle,bowl,4
984,bottle,pizza,1
985,bottle,chair,10
986,bottle,dining table,6
987,bottle,laptop,3
988,bottle,cell phone,2
989,bottle,book,1
990,cup,banner,2
991,cup,door-stuff,3
992,cup,floor-wood,1
993,cup,sand,1
994,cup,tent,1
995,cup,wall-stone,1
996,cup,window,2
997,cup,tree,2
998,cup,ceiling,1
999,cup,sky,1
1000,cup,table,4
1001,cup,floor,5
1002,cup,pavement,3
1003,cup,dirt,1
1004,cup,paper,1
1005,cup,food,1
1006,cup,wall,10
1007,cup,rug,1
1008,cup,person,11
1009,cup,bicycle,1
1010,cup,car,1
1011,cup,motorcycle,1
1012,cup,backpack,1
1013,cup,handbag,2
1014,cup,sports ball,1
1015,cup,bottle,8
1016,cup,cup,11
1017,cup,spoon,1
1018,cup,bowl,2
1019,cup,pizza,1
1020,cup,chair,8
1021,cup,dining table,3
1022,cup,laptop,2
1023,cup,cell phone,1
1024,cup,book,1
1025,spoon,sand,1
1026,spoon,window,1
1027,spoon,floor,2
1028,spoon,pavement,1
1029,spoon,food,1
1030,spoon,wall,2
1031,spoon,person,2
1032,spoon,bottle,2
1033,spoon,cup,1
1034,spoon,spoon,2
1035,spoon,bowl,2
1036,spoon,chair,1
1037,bowl,banner,1
1038,bowl,floor-wood,1
1039,bowl,sand,3
1040,bowl,tent,2
1041,bowl,water,1
1042,bowl,window,2
1043,bowl,sky,2
1044,bowl,table,1
1045,bowl,floor,4
1046,bowl,pavement,2
1047,bowl,food,1
1048,bowl,wall,5
1049,bowl,rug,1
1050,bowl,person,6
1051,bowl,handbag,1
1052,bowl,bottle,4
1053,bowl,cup,2
1054,bowl,spoon,2
1055,bowl,bowl,6
1056,bowl,pizza,1
1057,bowl,chair,1
1058,banana,floor,1
1059,banana,wall,1
1060,banana,person,1
1061,banana,banana,1
1062,pizza,banner,1
1063,pizza,floor-wood,1
1064,pizza,tent,1
1065,pizza,wall,1
1066,pizza,rug,1
1067,pizza,person,1
1068,pizza,bottle,1
1069,pizza,cup,1
1070,pizza,bowl,1
1071,pizza,pizza,1
1072,chair,banner,7
1073,chair,cardboard,1
1074,chair,curtain,4
1075,chair,door-stuff,6
1076,chair,sand,5
1077,chair,tent,1
1078,chair,wall-brick,1
1079,chair,wall-stone,1
1080,chair,window,2
1081,chair,tree,4
1082,chair,ceiling,8
1083,chair,sky,4
1084,chair,table,9
1085,chair,floor,14
1086,chair,pavement,3
1087,chair,dirt,4
1088,chair,paper,1
1089,chair,food,2
1090,chair,building,1
1091,chair,wall,26
1092,chair,rug,2
1093,chair,person,29
1094,chair,bicycle,2
1095,chair,car,2
1096,chair,motorcycle,2
1097,chair,bus,2
1098,chair,truck,2
1099,chair,handbag,1
1100,chair,sports ball,3
1101,chair,bottle,10
1102,chair,cup,8
1103,chair,spoon,1
1104,chair,bowl,1
1105,chair,chair,29
1106,chair,potted plant,1
1107,chair,dining table,10
1108,chair,laptop,5
1109,chair,cell phone,1
1110,chair,book,2
1111,couch,door-stuff,1
1112,couch,pavement,1
1113,couch,dirt,1
1114,couch,wall,1
1115,couch,person,1
1116,couch,motorcycle,1
1117,couch,couch,1
1118,potted plant,cardboard,1
1119,potted plant,sand,2
1120,potted plant,wall-stone,1
1121,potted plant,tree,3
1122,potted plant,sky,3
1123,potted plant,floor,1
1124,potted plant,pavement,1
1125,potted plant,dirt,3
1126,potted plant,food,1
1127,potted plant,building,2
1128,potted plant,wall,2
1129,potted plant,person,4
1130,potted plant,car,2
1131,potted plant,bus,1
1132,potted plant,truck,1
1133,potted plant,backpack,1
1134,potted plant,chair,1
1135,potted plant,potted plant,4
1136,dining table,banner,4
1137,dining table,curtain,2
1138,dining table,door-stuff,3
1139,dining table,sand,1
1140,dining table,window,1
1141,dining table,ceiling,2
1142,dining table,sky,2
1143,dining table,table,5
1144,dining table,floor,7
1145,dining table,pavement,1
1146,dining table,building,1
1147,dining table,wall,11
1148,dining table,rug,1
1149,dining table,person,11
1150,dining table,motorcycle,1
1151,dining table,handbag,1
1152,dining table,sports ball,1
1153,dining table,bottle,6
1154,dining table,cup,3
1155,dining table,chair,10
1156,dining table,dining table,11
1157,dining table,laptop,2
1158,dining table,book,2
1159,laptop,curtain,3
1160,laptop,door-stuff,1
1161,laptop,window-blind,1
1162,laptop,window,2
1163,laptop,ceiling,2
1164,laptop,table,5
1165,laptop,floor,2
1166,laptop,wall,6
1167,laptop,rug,2
1168,laptop,person,6
1169,laptop,handbag,1
1170,laptop,bottle,3
1171,laptop,cup,2
1172,laptop,chair,5
1173,laptop,dining table,2
1174,laptop,laptop,6
1175,laptop,cell phone,1
1176,laptop,book,2
1177,cell phone,door-stuff,1
1178,cell phone,table,1
1179,cell phone,floor,2
1180,cell phone,wall,2
1181,cell phone,rug,1
1182,cell phone,person,2
1183,cell phone,bottle,2
1184,cell phone,cup,1
1185,cell phone,chair,1
1186,cell phone,laptop,1
1187,cell phone,cell phone,2
1188,book,banner,1
1189,book,curtain,1
1190,book,sand,1
1191,book,wall-tile,1
1192,book,window,1
1193,book,ceiling,1
1194,book,sky,1
1195,book,table,3
1196,book,floor,2
1197,book,paper,1
1198,book,rock,1
1199,book,wall,5
1200,book,rug,1
1201,book,person,5
1202,book,handbag,1
1203,book,bottle,1
1204,book,cup,1
1205,book,chair,2
1206,book,dining table,2
1207,book,laptop,2
1208,book,book,5
